id,artifact,stage,construction_analog,basis,required_links,reviewer_hint
VNV-004,Holdout Scenario Report,Inspection and Commissioning,Independent holdout inspection scenario report,Dark factory validation,"Acceptance criteria, runtime logs, scores","QA Lead, Product Expert, Governance Auditor"
VNV-005,Security Test Report,Inspection and Commissioning,Security and life-safety test report,"SSDF, OWASP SAMM","Threats, findings, mitigations","Security Engineer, Test Lead, Governance Auditor"
VNV-006,Performance/Reliability Report,Inspection and Commissioning,"Load, reliability, and performance commissioning report",SRE/NFR,"NFRs, SLIs, capacity assumptions","SRE Lead, Test Lead, System Architect"
VNV-007,Accessibility/UX Validation,Inspection and Commissioning,Accessibility and usability inspection report,Product quality,"User journeys, acceptance criteria","UX Expert, Product Expert, Test Lead"
REL-001,Release Plan,"Handover, Operations, and Maintenance",Move-in / occupancy release plan,"RUP transition, DevOps","Change set, risks, deployment steps","Release Manager, SRE Lead, Product Owner"
REL-002,Release Notes,"Handover, Operations, and Maintenance",Owner release notes and known-issue bulletin,Handoff practice,"Features, fixes, risks, known issues","Product Expert, Release Manager, Support Lead"
REL-003,Deployment Guide,"Handover, Operations, and Maintenance",Deployment / installation guide,SRE/operations,"Environments, config, rollback","SRE Lead, Security Engineer, Release Manager"
REL-004,Operations Runbook,"Handover, Operations, and Maintenance",Operations and facilities runbook,SRE,"Alerts, dashboards, procedures, owners","SRE Lead, Support Lead, Security Engineer"
REL-005,Incident Response Guide,"Handover, Operations, and Maintenance",Emergency response and incident guide,SRE/security,"Failure modes, rollback, escalation","SRE Lead, Security Engineer, Human Owner"
REL-006,Maintenance Guide,"Handover, Operations, and Maintenance",Maintenance and repair manual,ISO maintenance,"Code map, common changes, tests","Brownfield Maintainer, Implementation Lead, SRE Lead"
REL-007,Human Training Package,"Handover, Operations, and Maintenance",Owner/operator training package,Outsourcing handoff,"Project book, runbooks, walkthroughs","Human Owner, Support Lead, Product Expert"
REL-008,Outage Drill and Operator Readiness Record,"Handover, Operations, and Maintenance",Emergency drill and operator readiness record,SRE human-owned operations,"Scenario, runbook replay, diagnosis, mitigation, operator signoff","SRE Lead, Human Owner, Support Lead"
EVD-001,Bidirectional Traceability Matrix,Inspection Records and Warranty Binder,As-built traceability matrix,ISO/CMMI/professional handoff,"Requirements, design, code, tests, operations","Governance Auditor, Requirements Lead, Test Lead"
EVD-002,Expert Debate Record,Inspection Records and Warranty Binder,Design review and coordination meeting record,DFMS governance,"Proposals, critiques, votes, decision","Moderator, Governance Auditor, Human Owner"
EVD-003,Rubric Scorecard,Inspection Records and Warranty Binder,Inspection scorecard,DFMS quality,"Artifact, reviewers, scores, failures","Quality Lead, Governance Auditor, Selected Experts"
EVD-004,Quality Certificate,Inspection Records and Warranty Binder,Certificate of quality / acceptance,DFMS gate,"Artifact, evidence, thresholds, residual risk","Quality Lead, Governance Auditor, Human Owner"
EVD-005,Provenance Record,Inspection Records and Warranty Binder,Material provenance and chain-of-custody record,Supply chain/audit,"Hashes, commits, logs, prompts if allowed","Governance Auditor, Security Engineer, Release Manager"
EVD-006,Residual Risk Acceptance,Inspection Records and Warranty Binder,Residual risk / exception acceptance,Risk management,"Risks, owner, expiration, mitigation","Human Owner, Security Engineer, Delivery Manager"
EVD-007,Refinery Gate Record,Inspection Records and Warranty Binder,Inspection gate record,DFMS/Fabro/Gas Town verification merge,"Tests, traceability, rubrics, security, operations, residual risk","Quality Lead, Test Lead, Governance Auditor"
EVD-008,Human Communication Record,Inspection Records and Warranty Binder,Owner communication and signoff record,Human-centered SDLC collaboration,"Async comments, confidence framing, taste gates, approval, incorporation evidence","Human Owner, Delivery Manager, Quality Lead"
EVD-009,Context Pack and Predecessor Recovery Record,Inspection Records and Warranty Binder,Handover binder and predecessor recovery record,Gas Town-inspired context rot control,"Current node, recovered decisions, drift, replay evidence, next action","Maintainer, Governance Auditor, Human Owner"
EVD-010,Retrospective Learning Record,Inspection Records and Warranty Binder,Post-project lessons learned and warranty learning record,Fabro/Gas Town/DFMS continuous improvement,"Friction, failures, lessons, template/rubric/skill updates","Feedback Lead, Governance Auditor, Human Owner"
